video_id,title,published_at,views,likes,comments,duration_seconds,published_us_est,published_year,published_month,published_quarter,published_weekday,published_hour,like_ratio,comment_ratio,published_time_of_day,is_short,days_since_publish,views_per_day,likes_per_day,duration_bucket,playlist,top_category
vAKs1-EEJ38,How to Remove Duplicates in an R Dataframe | R for Data Analytics Series,8/12/2025 14:01,1826,63,3,488,8/12/2025 8:01,2025,8,Q3,Tuesday,8,0.0345,0.0016,Morning,f,1,1826,63,Short,,
v5jasYkmwZI,Standardizing and Parsing Dates in R  using Lubridate | R for Data Analytics Series,8/5/2025 14:01,1573,39,6,506,8/5/2025 8:01,2025,8,Q3,Tuesday,8,0.0248,0.0038,Morning,f,1,1573,39,Short,,
0B-lz9VQkYs,Grouping and Aggregating Data in R | R for Data Analytics Series,7/22/2025 14:00,1997,42,5,497,7/22/2025 8:00,2025,7,Q3,Tuesday,8,0.021,0.0025,Morning,f,1,1997,42,Short,,
_YG8b1g-QJA,Getting Buy-in is a very difficult skill to learn,7/18/2025 14:11,6065,191,5,51,7/18/2025 8:11,2025,7,Q3,Friday,8,0.0315,0.0008,Morning,t,1,6065,191,Short,,short
A42T_b0gwF4,Filtering and Ordering Data in R | R for Data Analytics Series,7/15/2025 14:00,2442,66,6,827,7/15/2025 8:00,2025,7,Q3,Tuesday,8,0.027,0.0025,Morning,f,1,2442,66,Medium,,
8NfozskpBtY,If I got hired today here’s exactly what I would do!,7/11/2025 13:34,12711,662,10,73,7/11/2025 7:34,2025,7,Q3,Friday,7,0.0521,0.0008,Morning,t,1,12711,662,Short,,short
QC1Jased-PA,Reading and Writing Files in R | R for Data Analytics Series,7/8/2025 14:00,2065,65,6,620,7/8/2025 8:00,2025,7,Q3,Tuesday,8,0.0315,0.0029,Morning,f,1,2065,65,Medium,,
O5nQKzBb0oc,Operators in R | R for Data Analytics Series,7/1/2025 14:00,3717,93,8,708,7/1/2025 8:00,2025,7,Q3,Tuesday,8,0.025,0.0022,Morning,f,1,3717,93,Medium,,
73S2SJSTgQU,"Basics of R | Environment, Variables, Data Types | R for Data Analytics Series",6/24/2025 14:00,5998,112,9,689,6/24/2025 8:00,2025,6,Q2,Tuesday,8,0.0187,0.0015,Morning,f,1,5998,112,Medium,,
TsnGd6p9oTk,Installing R and R Studio | R for Data Analytics Series,6/17/2025 14:00,7587,194,13,359,6/17/2025 8:00,2025,6,Q2,Tuesday,8,0.0256,0.0017,Morning,f,1,7587,194,Short,,
DsI1vG-kXR8,Best Resources to Learn Data Analytics in 2025,6/10/2025 14:00,23223,955,42,407,6/10/2025 8:00,2025,6,Q2,Tuesday,8,0.0411,0.0018,Morning,f,8,2903,120,Short,,
4lhPHhPkVLM,Best Resources to Learn Data Visualization in 2025,6/3/2025 14:00,12515,360,30,268,6/3/2025 8:00,2025,6,Q2,Tuesday,8,0.0288,0.0024,Morning,f,15,835,24,Short,,
dkU5n0G7FRQ,Best Resources to Learn Excel in 2025,5/27/2025 14:01,14983,695,16,289,5/27/2025 8:01,2025,5,Q2,Tuesday,8,0.0464,0.0011,Morning,f,22,682,32,Short,,
kagUDLvrcZ8,Best Resources to Learn Python in 2025,5/20/2025 14:01,21941,794,54,309,5/20/2025 8:01,2025,5,Q2,Tuesday,8,0.0362,0.0025,Morning,f,29,757,28,Short,,
P5uJYPjUtlc,Best Resources to Learn SQL in 2025,5/13/2025 14:00,26655,946,35,371,5/13/2025 8:00,2025,5,Q2,Tuesday,8,0.0355,0.0013,Morning,f,36,741,27,Short,,
dStNNjOKML4,How to Practice for General Technical Interviews | Analyst Builder,5/6/2025 14:01,4858,180,18,621,5/6/2025 8:01,2025,5,Q2,Tuesday,8,0.0371,0.0037,Morning,f,43,113,5,Medium,,
OQM9x6E3ojo,How to Lie with Data | Biased Data Collection,4/29/2025 14:00,3367,102,12,262,4/29/2025 8:00,2025,4,Q2,Tuesday,8,0.0303,0.0036,Morning,f,50,68,3,Short,,
z39SB95JbDo,How to Lie with Data | Correlations,4/22/2025 14:01,3425,128,16,213,4/22/2025 8:01,2025,4,Q2,Tuesday,8,0.0374,0.0047,Morning,f,57,61,3,Short,,
W5CQb7klLCs,How to Lie with Data | Cherry Picking Data,4/15/2025 14:00,3812,158,8,252,4/15/2025 8:00,2025,4,Q2,Tuesday,8,0.0414,0.0021,Morning,f,64,60,3,Short,,
xb5-UX-jYw0,How to Lie with Data | Averages,4/8/2025 14:01,4309,221,15,407,4/8/2025 8:01,2025,4,Q2,Tuesday,8,0.0513,0.0035,Morning,f,71,61,4,Short,,
V3ouFOBQP0k,How to Lie with Data | Percentages and Baseline Numbers,4/1/2025 14:00,4558,222,11,318,4/1/2025 8:00,2025,4,Q2,Tuesday,8,0.0487,0.0024,Morning,f,78,59,3,Short,,
oi9W142ELN0,1 Million YouTube Play Button Unboxing!,3/25/2025 13:01,3236,243,80,460,3/25/2025 8:01,2025,3,Q1,Tuesday,8,0.0751,0.0247,Morning,f,85,39,3,Short,,
5n52mlp9Ym0,Maven Analytics + Analyst Builder Lifetime Access (Ends March 31st),3/24/2025 13:00,8986,255,41,315,3/24/2025 8:00,2025,3,Q1,Monday,8,0.0284,0.0046,Morning,f,86,105,3,Short,,
XuOcmjIbFGg,"Taking a look at Real Healthcare Data | ICD11, CPT, HCPCS, Claims",3/4/2025 14:00,9821,443,32,916,3/4/2025 8:00,2025,3,Q1,Tuesday,8,0.0451,0.0033,Morning,f,106,93,5,Medium,,
Ka2mDrKEAhg,How to Become a Healthcare Analyst in 2025,2/25/2025 14:00,31781,1546,153,1072,2/25/2025 8:00,2025,2,Q1,Tuesday,8,0.0486,0.0048,Morning,f,113,282,14,Medium,,
