title,published_weekday,published_time_of_day,duration_seconds,views,likes,views_per_day,likes_per_day,tags_clean,is_outlier
AWS Glue DataBrew and Glue | AWS Essentials,Tuesday,Morning,2732,9218,159,35.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'aws glue', 'aws glue databrew', 'glue', 'glue aws', 'glue tutorial']",0
Amazon Athena in AWS | AWS Fundamentals,Tuesday,Morning,1473,14266,258,53.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'aws athena', 'athena', 'athena tutorial']",0
Alex Freberg and Ben Rogojan Livestream | Everything Data Analytics and Data Engineering,Tuesday,Evening,4516,5969,198,22.0,1.0,[],0
Landing a Data Job Course on Analyst Builder,Tuesday,Morning,500,23899,822,83.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
S3 Storage in AWS | AWS Essentials,Tuesday,Morning,878,10416,198,36.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 's3', 's3 buckets', 's3 tutorial', 'tutorial for s3', 's3 bucket tutorial']",0
Window Functions in MySQL | Intermediate MySQL,Tuesday,Morning,809,155197,4172,326.0,9.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
AWS Setup and UI Walkthough | AWS,Tuesday,Morning,441,12128,286,41.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'aws setup', 'aws account', 'how to setup aws', 'aws ui', 'aws ui walkthrough']",0
Getting Started in Azure Synapse Analytics | Azure Fundamentals,Tuesday,Morning,1177,26672,379,87.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'azure', 'azure synapse', 'azure synapse analytics', 'synapse analytics tutorials', 'azure synapse tutorial']",0
August Q/A Livestream! Come Ask Me Anything!,Friday,Morning,5904,5326,223,18.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'livestream']",0
Getting Started in Azure Data Factory | Azure Fundamentals,Tuesday,Morning,1471,34024,538,108.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'azure', 'azure data factory', 'azure data factory tutorial']",0
