video_id,title,published_at,views,likes,comments,tags,duration,duration_seconds,playlist_title
_gP-DH0iZLw,Top 5 Reasons Data Analytics is a Good Career Choice,2020-09-08T14:15:55Z,44793,1316,73,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data analyst career', 'Data Analytics career', 'Reason why data analytics is a good career choice', 'is data analyst a good career', 'is data analytics for me', 'is data analytics a good career', 'Data Analytics job', 'Reasons why data analyst is a good career', 'Data analyst is a good career', 'is being a data analyst a good career', 'is data analyst right for me', 'is data analyst a good job']",PT2M53S,173,
-Inc1be4zSg,The Hiring Process from an Interviewer's Perspective | Alex The Analyst Show | Episode 1,2020-09-03T15:38:28Z,22504,711,85,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Hiring Process', 'Hiring Process from interviewers perspective', 'The complete Hiring process', 'what is the hiring process', 'Interviewer', 'Interviewing']",PT27M4S,1624,Alex The Analyst Show
CsMh7Ykmnw4,Top 5 Reasons Not to Lie on Your Resume,2020-09-01T12:29:45Z,12589,212,119,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'lying on your resume', 'reasons to lie on a resume', 'reasons not to lie on a resume', 'reasons to lie on my resume', 'should I lie on my resume', 'Should I lie on a resume', 'Data Analyst jobs', 'Data Analyst resume', 'Resumes for Data Analysts', 'Lie on resume']",PT3M57S,237,
ho2vzKPAD50,Live Data Analyst Q&A #3,2020-08-29T14:37:52Z,3134,101,43,[],PT1H2M18S,3738,Data Analyst Q&A
5MZo2RoS8Yo,Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,2020-08-20T13:46:16Z,131844,4660,270,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'data analyst career path', 'career path', 'data science career path', 'path to be come data analyst', 'path to become a data analyst', 'career path for data analyst', 'Data Analyst Project', 'Data Analyst Projects', 'Data Analyst Skills']",PT8M42S,522,
M2ySRYpo9S0,Top 5 Reasons Not to Become a Data Analyst,2020-08-12T14:52:19Z,927729,19744,1047,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'reasons not to become a data analyst', 'do not become a data analyst', 'top 5 reasons not to become a data analyst', 'reasons to not become a data analyst', 'should I become a data analyst']",PT5M18S,318,
ncXgqGePvwI,Data Analyst Bootcamps | Are They Worth It?,2020-08-05T13:14:01Z,35371,581,93,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data analyst bootcamps', 'bootcamps for data analysts', 'Data science bootcamps', 'Are bootcamps worth it', 'Should I do a bootcamp', 'Should I do a data analyst bootcamp']",PT5M46S,346,
ywZXpfdqg1o,What Does a Data Analyst Actually Do?,2020-07-29T13:48:00Z,1064951,20427,515,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'what does a data analyst do', 'what do data analysts actually do', 'what do data analysts do', 'what does a data analyst actually do', 'data analyst job description', 'data analyst skills', 'data analyst qualifications', 'data analyst salary', 'data analyst overview', 'What a data analyst does', 'Data Analyst Cleaning data', 'Data Analyst visualization']",PT4M18S,258,
IqQCBytyATo,Data Analyst Question and Answer | Answering Your YouTube Questions,2020-07-22T14:35:55Z,5006,180,67,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Data analyst with no degree', 'Data Analyst questions', 'Data Analyst coaching', 'Data Analyst q and a', 'Data Analyst Q&A', 'Data Analyst Question and Answer']",PT5M49S,349,Data Analyst Q&A
MpIi4HtCiVk,Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,2020-07-15T14:00:20Z,55518,1390,159,"['Data Analyst', 'How to become a data analyst', 'Twitterscraper', 'scraping data from websites using python', 'Web scraping python', 'Scraping data off twitter', 'Twitter python', 'Python project for data analysts', 'Web Scraping Python', 'Data Analyst web scraping', 'Data Analyst NLP', 'Web Scraping for data analysts', 'how to scrape data from twitter using python', 'how to scrape data from twitter', 'twitterscraper', 'twitterscraper python', 'twitterscraper tutorial', 'Data Analyst data visualization']",PT6M42S,402,
G4syHs3M82E,Data Analyst vs Business Analyst | Which Is Right For You?,2020-07-03T14:17:52Z,796165,19943,592,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst Job Description', 'Data Analyst Salary', 'Data Analyst skills', 'data analyst for freshers', 'business analyst job description', 'business analyst', 'business analyst salary', 'business analyst career', 'business analyst vs data analyst', 'data analyst vs business analyst', 'business analyst for beginners', 'business analyst qualifications']",PT4M40S,280,
appOFpF2pFg,Best Free Online Courses for Data Analysts,2020-06-23T13:55:50Z,58154,2757,95,"['Data Analyst', 'Data Analytics', 'Data Analyst with no experience', 'Data Analyst Courses', 'Courses for data analysts', 'Best data analyst courses', 'best courses for data analysts', 'Data Science Courses', 'Courses for Data Scientists', 'Python courses for data analysts', 'SQL courses for data analysts', 'udemy courses for data analysts', 'best online courses for data analysts', 'free data analyst courses', 'best data analyst courses', 'best free data analyst courses', 'courses for data analysts']",PT4M59S,299,
