video_id;title;published_at;views;likes;comments;duration_seconds;tags_array;published_us_est;published_year;published_month;published_quarter;published_weekday;published_hour;like_ratio;comment_ratio;publish_time_of_day
VRmXto2YA2I;Group By and Aggregate Functions in Pandas | Python Pandas Tutorials;2023-04-04 11:30:10;120798;2912;135;665;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst",pandas,"pandas group by","group by in pandas","aggregating in pandas","agg pandas","pandas agg","pangas group_by","groupby pandas","pandas groupby","pandas tutorial","python pandas tutorial"};2023-04-04 07:30:10;2023;4;Q2;Tuesday;7;0.0241;0.0011;Morning
6yNsc7JVPJE;Top 5 Biggest Mistakes Beginner Data Analysts Make;2023-03-28 11:30:04;39752;1797;82;534;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst"};2023-03-28 07:30:04;2023;3;Q1;Tuesday;7;0.0452;0.0021;Morning
pHOH7UfOhbE;Variables in Python | Python for Beginners;2022-10-25 11:00:27;159602;3315;80;797;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","python variables","variables in python","how to use variables","how to use variables in python",variables};2022-10-25 07:00:27;2022;10;Q4;Tuesday;7;0.0208;0.0005;Morning
mBCG9J1TVTc;Indexes in Pandas | Python Pandas Tutorials;2023-03-21 11:30:30;76289;1715;52;682;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst",pandas,"pandas tutorial",coding,python,"python pandas","index in pandas","pandas index","index pandas","how to use indexes in pandas"};2023-03-21 07:30:30;2023;3;Q1;Tuesday;7;0.0225;0.0007;Morning
WizLaDdsHUs;Create the Perfect Data Analyst Resume | Free Templates!;2023-03-14 11:30:10;234026;6351;251;1057;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","data analyst resume","creating a resume",resume,"resume for data analysis","resume for data analysts","how to create a resume","how to create a data analyst resume","resume for analysts"};2023-03-14 07:30:10;2023;3;Q1;Tuesday;7;0.0271;0.0011;Morning
kB7FV-ijdqE;Filtering Columns and Rows in Pandas | Python Pandas Tutorials;2023-03-07 12:30:30;123334;2546;68;709;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst",pandas,"pandas python",coding,"filtering pandas","ordering pandas","how to filter in pandas","how to order in pandas","pandas order by","pandas filter","pandas loc","pandas iloc"};2023-03-07 07:30:30;2023;3;Q1;Tuesday;7;0.0206;0.0006;Morning
dUpyC40cF6Q;Reading in Files in Pandas | Python Pandas Tutorials;2023-02-28 12:30:18;250808;4064;118;1157;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst",Pandas,"pandas python","python pandas","pandas tutorials","pandas tutorial","reading in files","python read in files","pandas read in file"};2023-02-28 07:30:18;2023;2;Q1;Tuesday;7;0.0162;0.0005;Morning
gs0FNQR0njI;Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners;2023-02-21 12:32:29;81798;1784;95;1011;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","python project","python project for beginners"};2023-02-21 07:32:29;2023;2;Q1;Tuesday;7;0.0218;0.0012;Morning
C75TROiiEa0;ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset;2023-02-14 12:30:08;448876;8310;221;1867;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","Chat gpt",Chatgpt,"Chatgpt for data analysis","data analyst using chatgpt","chatgpt 3.5","chatgpt for data analysts","data analyst chatgpt","chatgpt data analyst"};2023-02-14 07:30:08;2023;2;Q1;Tuesday;7;0.0185;0.0005;Morning
rGx1QNdYzvs;FREE Data Analyst Bootcamp!!;2023-02-07 12:30:11;2036243;48329;1844;412;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","data analyst bootcamp","data analytics bootcamp","become a data nalyst","free bootcamp","free data bootcamp","free data analyst bootcamp"};2023-02-07 07:30:11;2023;2;Q1;Tuesday;7;0.0237;0.0009;Morning
CUBfrdDwznQ;How to Become a Data Analyst in 2023 (Completely FREE!);2023-01-31 12:30:06;1361567;44463;1350;839;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","data analyst 2023","how to become a data analyst","data analyst guide","guide to become a data analyst"};2023-01-31 07:30:06;2023;1;Q1;Tuesday;7;0.0327;0.001;Morning
L-QnW_BZT3c;Live Portfolio Review with Alex the Analyst!  | Live Webinar;2023-01-25 17:14:49;17804;632;23;4217;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst"};2023-01-25 12:14:49;2023;1;Q1;Wednesday;12;0.0355;0.0013;Afternoon
S76iS03nGis;DIY Data Analyst Curriculum using Udemy (Under $75);2023-01-24 12:30:13;41491;1478;121;769;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","diy data analyst curriculum using udemy","udemy courses","best udemy courses","data analyst udemy","build your own courses on udemy",udemy};2023-01-24 07:30:13;2023;1;Q1;Tuesday;7;0.0356;0.0029;Morning
RBEgsEVO3T8;Reviewing Maven Analytics Free Portfolio Website;2023-01-17 12:30:08;28666;835;49;1356;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","maven analytics","maven analytics data analyst","maven analytics showcase","maven analytics portfolio","maven analytics portfolio website","Portfolio on maven analytics"};2023-01-17 07:30:08;2023;1;Q1;Tuesday;7;0.0291;0.0017;Morning
gCG07l6Fu-U;5 Study Hacks for Beginner Data Analysts! | Live Webinar;2023-01-16 17:25:08;46626;1356;36;4650;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst"};2023-01-16 12:25:08;2023;1;Q1;Monday;12;0.0291;0.0008;Afternoon
sXHIIW3Wt84;300k Livestream! | Giveaways for People in Chat | Bring Your Wine;2022-10-19 10:56:23;5278;243;21;5064;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst"};2022-10-19 06:56:23;2022;10;Q4;Wednesday;6;0.046;0.004;Morning
DXwFsxCtukg;DIY Data Analyst Curriculum using Coursera in 2023;2023-01-10 12:30:03;65430;3025;222;752;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst",coursera,"data analyst courses","best coursera courses","diy data analyst curriculum coursera","cousera data analyst"};2023-01-10 07:30:03;2023;1;Q1;Tuesday;7;0.0462;0.0034;Morning
ey1VNjU0YbM;Building a BMI Calculator with Python | Python Projects for Beginners;2023-01-03 12:30:12;101569;2060;91;863;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","bmi calculator","python calculator","python bmi calculator","how to create a bmi calculator in python","how to create a bmi calculator"};2023-01-03 07:30:12;2023;1;Q1;Tuesday;7;0.0203;0.0009;Morning
0MKcCHrTo0c;Reading, Writing, and Appending Files in Python | Python for Beginners;2022-12-27 13:00:00;12025;324;13;564;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","reading files in python","working with files in python","appending files in python","writing to files in python","python files"};2022-12-27 08:00:00;2022;12;Q4;Tuesday;8;0.0269;0.0011;Morning
bVJfQAe-UP4;Why I Quit my 125k Analytics Job;2022-12-20 12:00:33;158192;8711;858;463;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","quitting my job","why I quit my job","why I quit","quitting my analytics job","why I quit my analytics job","why I left","why I left my job","why I left my analytics job"};2022-12-20 07:00:33;2022;12;Q4;Tuesday;7;0.0551;0.0054;Morning
_2OknmkngkQ;Data Analyst Q/A Livestream + Special Guest! | December Livestream;2022-12-17 14:16:05;5107;166;15;4968;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst",livestream};2022-12-17 09:16:05;2022;12;Q4;Saturday;9;0.0325;0.0029;Morning
B63bN2cLVLM;Converting Data Types in Python | Python for Beginners;2022-12-13 12:00:06;60117;1571;40;396;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","data types in python","converting data types in python","converting data types","python converting data types"};2022-12-13 07:00:06;2022;12;Q4;Tuesday;7;0.0261;0.0007;Morning
zvzjaqMBEso;Functions in Python | Python for Beginners;2022-12-06 12:00:36;97217;2119;43;764;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst",functions,"functions in python","how to use functions in python","python functions"};2022-12-06 07:00:36;2022;12;Q4;Tuesday;7;0.0218;0.0004;Morning
ECduJk00mUU;While Loops in Python | Python for Beginners;2022-11-29 12:00:07;94418;2264;36;340;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","while loops in python","python while loops","while loops","while loop in python","how to use a while loop","how to use a while loop in python"};2022-11-29 07:00:07;2022;11;Q4;Tuesday;7;0.024;0.0004;Morning
zmIdC0_0BgY;For Loops in Python | Python for Beginners;2022-11-22 12:00:48;86747;1912;34;557;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst","for loops in python","for loops","how to use for loops","how to use for loops in python","python for loops","for loop","for loop in python"};2022-11-22 07:00:48;2022;11;Q4;Tuesday;7;0.022;0.0004;Morning
eP8-mo5jRrY;Data Analyst Q/A Livestream | November Livestream;2022-11-16 02:06:22;6311;199;18;3737;{"Data Analyst","Data Analyst job","Data Analyst Career","Data Analytics","Alex The Analyst",livestream};2022-11-15 21:06:22;2022;11;Q4;Tuesday;21;0.0315;0.0029;Evening
